"RK","PLAYER NAME",TEAM,"OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"1","DeAndre Hopkins",ARI,"vs. SEA","5 out of 5 stars","A+","18.4"
"2","Davante Adams",GB,"at HOU","4 out of 5 stars","A+","17.6"
"3","Tyreek Hill",KC,"at DEN","3 out of 5 stars","A+","16.0"
"4","Calvin Ridley",ATL,"vs. DET","5 out of 5 stars","A+","15.9"
"5","Julio Jones",ATL,"vs. DET","5 out of 5 stars","A+","15.7"
"6","Stefon Diggs",BUF,"at NYJ","4 out of 5 stars","A+","15.4"
"7","Kenny Golladay",DET,"at ATL","5 out of 5 stars","A+","15.4"
"8","D.K. Metcalf",SEA,"at ARI","2 out of 5 stars","A","14.8"
"9","A.J. Brown",TEN,"vs. PIT","5 out of 5 stars","A","14.6"
"10","Michael Thomas",NO,"vs. CAR","1 out of 5 stars","A","14.5"
"11","Terry McLaurin",WAS,"vs. DAL","5 out of 5 stars","A","14.3"
"12","Allen Robinson II",CHI,"at LAR","1 out of 5 stars","A","14.2"
"13","Chris Godwin",TB,"at LV","3 out of 5 stars","A","14.0"
"14","Keenan Allen",LAC,"vs. JAC","3 out of 5 stars","A-","14.0"
"15","Will Fuller V",HOU,"vs. GB","1 out of 5 stars","A","13.8"
"16","Mike Evans",TB,"at LV","3 out of 5 stars","A","13.7"
"17","Tyler Lockett",SEA,"at ARI","2 out of 5 stars","A-","13.5"
"18","Robert Woods",LAR,"vs. CHI","1 out of 5 stars","A-","13.5"
"19","Robby Anderson",CAR,"at NO","3 out of 5 stars","A-","13.2"
"20","Amari Cooper",DAL,"at WAS","2 out of 5 stars","A-","13.2"
"21","Cooper Kupp",LAR,"vs. CHI","1 out of 5 stars","A-","13.1"
"22","Chase Claypool",PIT,"at TEN","5 out of 5 stars","B+","13.0"
"23","D.J. Moore",CAR,"at NO","3 out of 5 stars","B+","13.0"
"24","Odell Beckham Jr.",CLE,"at CIN","5 out of 5 stars","B+","13.0"
"25","CeeDee Lamb",DAL,"at WAS","2 out of 5 stars","B","12.5"
"26","Tyler Boyd",CIN,"vs. CLE","5 out of 5 stars","B","12.3"
"27","D.J. Chark Jr.",JAC,"at LAC","3 out of 5 stars","B","11.9"
"28","Tee Higgins",CIN,"vs. CLE","5 out of 5 stars","B","11.9"
"29","Jamison Crowder",NYJ,"vs. BUF","2 out of 5 stars","B","11.7"
"30","Darius Slayton",NYG,"at PHI","5 out of 5 stars","B","11.5"
"31","JuJu Smith-Schuster",PIT,"at TEN","5 out of 5 stars","B","11.5"
"32","Travis Fulgham",PHI,"vs. NYG","3 out of 5 stars","B-","11.2"
"33","Mike Williams",LAC,"vs. JAC","3 out of 5 stars","B-","11.0"
"34","Brandin Cooks",HOU,"vs. GB","1 out of 5 stars","B-","10.8"
"35","Deebo Samuel",SF,"at NE","3 out of 5 stars","C+","10.7"
"36","Michael Gallup",DAL,"at WAS","2 out of 5 stars","C+","10.3"
"37","Laviska Shenault Jr.",JAC,"at LAC","3 out of 5 stars","C+","10.3"
"38","Christian Kirk",ARI,"vs. SEA","5 out of 5 stars","C+","10.2"
"39","Julian Edelman",NE,"vs. SF","3 out of 5 stars","C+","10.2"
"40","Jarvis Landry",CLE,"at CIN","5 out of 5 stars","C+","9.1"
"41","Tim Patrick",DEN,"vs. KC","2 out of 5 stars","C","8.9"
"42","Jerry Jeudy",DEN,"vs. KC","2 out of 5 stars","C+","8.7"
"43","Keelan Cole",JAC,"at LAC","3 out of 5 stars","C","8.6"
"44","John Brown",BUF,"at NYJ","4 out of 5 stars","C","8.6"
"45","Marvin Jones Jr.",DET,"at ATL","5 out of 5 stars","C","8.5"
"46","Henry Ruggs III",LV,"vs. TB","3 out of 5 stars","C","8.4"
"47","Brandon Aiyuk",SF,"at NE","3 out of 5 stars","C","8.4"
"48","Cole Beasley",BUF,"at NYJ","4 out of 5 stars","C","8.1"
"49","A.J. Green",CIN,"vs. CLE","5 out of 5 stars","C-","8.0"
"50","Mecole Hardman",KC,"at DEN","3 out of 5 stars","C","7.8"
"51","James Washington",PIT,"at TEN","5 out of 5 stars","C-","7.6"
"52","Marquez Valdes-Scantling",GB,"at HOU","4 out of 5 stars","C-","7.5"
"53","Golden Tate",NYG,"at PHI","5 out of 5 stars","C-","7.4"
"54","Russell Gage",ATL,"vs. DET","5 out of 5 stars","C-","7.0"
"55","Emmanuel Sanders",NO,"vs. CAR","1 out of 5 stars","C-","7.0"
"56","Randall Cobb",HOU,"vs. GB","1 out of 5 stars","D+","7.0"
"57","Demarcus Robinson",KC,"at DEN","3 out of 5 stars","D+","7.0"
"58","Adam Humphries",TEN,"vs. PIT","5 out of 5 stars","D+","6.9"
"59","Damiere Byrd",NE,"vs. SF","3 out of 5 stars","D","6.9"
"60","Breshad Perriman",NYJ,"vs. BUF","2 out of 5 stars","D","6.5"
"61","N'Keal Harry",NE,"vs. SF","3 out of 5 stars","D","6.4"
"62","Greg Ward",PHI,"vs. NYG","3 out of 5 stars","D","6.4"
"63","Diontae Johnson",PIT,"at TEN","5 out of 5 stars","C-","6.3"
"64","DeSean Jackson",PHI,"vs. NYG","3 out of 5 stars","D-","6.2"
"65","Darnell Mooney",CHI,"at LAR","1 out of 5 stars","D-","6.2"
"66","Anthony Miller",CHI,"at LAR","1 out of 5 stars","D-","6.2"
"67","Danny Amendola",DET,"at ATL","5 out of 5 stars","F","6.1"
"68","Hunter Renfrow",LV,"vs. TB","3 out of 5 stars","F","6.0"
"69","Larry Fitzgerald",ARI,"vs. SEA","5 out of 5 stars","F","5.9"
"70","Corey Davis",TEN,"vs. PIT","5 out of 5 stars","F","5.9"
"71","Nelson Agholor",LV,"vs. TB","3 out of 5 stars","F","5.7"
"72","Scotty Miller",TB,"at LV","3 out of 5 stars","F","5.7"
"73","Kendrick Bourne",SF,"at NE","3 out of 5 stars","F","5.7"
"74","Tre'Quan Smith",NO,"vs. CAR","1 out of 5 stars","F","5.7"
"75","Andy Isabella",ARI,"vs. SEA","5 out of 5 stars","F","5.6"
"76","Dontrelle Inman",WAS,"vs. DAL","5 out of 5 stars","F","5.3"
"77","Cordarrelle Patterson",CHI,"at LAR","1 out of 5 stars","F","5.3"
"78","Curtis Samuel",CAR,"at NO","3 out of 5 stars","F","5.3"
"79","Tyler Johnson",TB,"at LV","3 out of 5 stars","F","5.2"
"80","Josh Reynolds",LAR,"vs. CHI","1 out of 5 stars","F","5.2"
"81","Cedrick Wilson",DAL,"at WAS","2 out of 5 stars","F","5.2"
"82","Rashard Higgins",CLE,"at CIN","5 out of 5 stars","F","4.9"
"83","David Moore",SEA,"at ARI","2 out of 5 stars","F","4.8"
"84","Jeff Smith",NYJ,"vs. BUF","2 out of 5 stars","F","4.7"
"85","Gabriel Davis",BUF,"at NYJ","4 out of 5 stars","F","4.5"
"86","Jalen Guyton",LAC,"vs. JAC","3 out of 5 stars","F","4.5"
"87","Isaiah Wright",WAS,"vs. DAL","5 out of 5 stars","F","4.4"
"88","Chris Conley",JAC,"at LAC","3 out of 5 stars","F","4.4"
"89","John Hightower",PHI,"vs. NYG","3 out of 5 stars","F","4.3"
"90","Olamide Zaccheaus",ATL,"vs. DET","5 out of 5 stars","F","4.2"
"91","Kalif Raymond",TEN,"vs. PIT","5 out of 5 stars","F","4.2"
